alpha,metric,group,data,opt
0,LIR,Male,0.15764940232342606,ETDopt
0,LIR,Female,0.14481642521559865,ETDopt
0,LIR,Under 18,0.11486324172982182,ETDopt
0,LIR,18-24,0.1480333156342371,ETDopt
0,LIR,25-34,0.17295814722786168,ETDopt
0,LIR,35-44,0.16009861133689415,ETDopt
0,LIR,45-49,0.14212425309512675,ETDopt
0,LIR,50-55,0.14333166928824637,ETDopt
0,LIR,56+,0.10187283753639373,ETDopt
0,LIR,other,0.15012650539880523,ETDopt
0,LIR,academic/educator,0.16344867044678357,ETDopt
0,LIR,artist,0.17721225949768035,ETDopt
0,LIR,clerical/admin,0.20300058454413852,ETDopt
0,LIR,college/grad student,0.15204838725596337,ETDopt
0,LIR,customer service,0.22151814520497473,ETDopt
0,LIR,doctor/health care,0.14334153146509201,ETDopt
0,LIR,executive/managerial,0.12977713752435768,ETDopt
0,LIR,farmer,0.14030199528857673,ETDopt
0,LIR,homemaker,0.13055320163671733,ETDopt
0,LIR,K-12 student,0.1133781533481295,ETDopt
0,LIR,lawyer,0.1432514113081663,ETDopt
0,LIR,programmer,0.176305115234491,ETDopt
0,LIR,retired,0.10403552135148447,ETDopt
0,LIR,sales/marketing,0.1612161439575059,ETDopt
0,LIR,scientist,0.16840859537644373,ETDopt
0,LIR,self-employed,0.16045346336044428,ETDopt
0,LIR,technician/engineer,0.13951539616349806,ETDopt
0,LIR,tradesman/craftsman,0.11234620705326577,ETDopt
0,LIR,unemployed,0.23319738278679544,ETDopt
0,LIR,writer,0.1714269623914664,ETDopt
0,SEP,Overall,0.5494111673647657,ETDopt
0,SEP,Male,0.548907189712369,ETDopt
0,SEP,Female,0.5506891106976292,ETDopt
0,SEP,Under 18,0.5508561439564607,ETDopt
0,SEP,18-24,0.5463941922592757,ETDopt
0,SEP,25-34,0.5462173986198523,ETDopt
0,SEP,35-44,0.5501791355342424,ETDopt
0,SEP,45-49,0.5530179561298196,ETDopt
0,SEP,50-55,0.5607657126310336,ETDopt
0,SEP,56+,0.552492085009228,ETDopt
0,SEP,other,0.5429890699142994,ETDopt
0,SEP,academic/educator,0.5560808996684197,ETDopt
0,SEP,artist,0.5534290052762223,ETDopt
0,SEP,clerical/admin,0.5548625940360284,ETDopt
0,SEP,college/grad student,0.5406641389208457,ETDopt
0,SEP,customer service,0.5383205372942168,ETDopt
0,SEP,doctor/health care,0.5512572754254687,ETDopt
0,SEP,executive/managerial,0.5548403349397337,ETDopt
0,SEP,farmer,0.5336646483146288,ETDopt
0,SEP,homemaker,0.5366685390000846,ETDopt
0,SEP,K-12 student,0.5471111950386696,ETDopt
0,SEP,lawyer,0.5472834623812772,ETDopt
0,SEP,programmer,0.5513859048637941,ETDopt
0,SEP,retired,0.5498004229222382,ETDopt
0,SEP,sales/marketing,0.5511104440990624,ETDopt
0,SEP,scientist,0.5661010398286033,ETDopt
0,SEP,self-employed,0.5591001924185867,ETDopt
0,SEP,technician/engineer,0.5495718302896307,ETDopt
0,SEP,tradesman/craftsman,0.5741342117288354,ETDopt
0,SEP,unemployed,0.5321681098716264,ETDopt
0,SEP,writer,0.5433811201531713,ETDopt
0,ETD,Overall,0.13415562913907286,ETDopt
0,ETD,Male,0.13465712306626645,ETDopt
0,ETD,Female,0.13288472791105913,ETDopt
0,ETD,Under 18,0.13333333333333336,ETDopt
0,ETD,18-24,0.13508612873980055,ETDopt
0,ETD,25-34,0.1342080152671756,ETDopt
0,ETD,35-44,0.1347024308466052,ETDopt
0,ETD,45-49,0.1350909090909091,ETDopt
0,ETD,50-55,0.13205645161290322,ETDopt
0,ETD,56+,0.13131578947368422,ETDopt
0,ETD,other,0.13319268635724332,ETDopt
0,ETD,academic/educator,0.13617424242424245,ETDopt
0,ETD,artist,0.1355805243445693,ETDopt
0,ETD,clerical/admin,0.12832369942196528,ETDopt
0,ETD,college/grad student,0.1345191040843215,ETDopt
0,ETD,customer service,0.12946428571428575,ETDopt
0,ETD,doctor/health care,0.13940677966101697,ETDopt
0,ETD,executive/managerial,0.1349042709867452,ETDopt
0,ETD,farmer,0.14117647058823532,ETDopt
0,ETD,homemaker,0.13043478260869565,ETDopt
0,ETD,K-12 student,0.13230769230769232,ETDopt
0,ETD,lawyer,0.13178294573643412,ETDopt
0,ETD,programmer,0.13170103092783506,ETDopt
0,ETD,retired,0.13521126760563376,ETDopt
0,ETD,sales/marketing,0.13311258278145693,ETDopt
0,ETD,scientist,0.13402777777777775,ETDopt
0,ETD,self-employed,0.13402489626556022,ETDopt
0,ETD,technician/engineer,0.13605577689243029,ETDopt
0,ETD,tradesman/craftsman,0.1328571428571428,ETDopt
0,ETD,unemployed,0.1444444444444445,ETDopt
0,ETD,writer,0.13131672597864769,ETDopt
0.05,ndcg,Overall,0.08288354517914512,ETDopt
0.05,ndcg,Male,0.08339602676582751,ETDopt
0.05,ndcg,Female,0.08158403829862904,ETDopt
0.05,ndcg,Under 18,0.07300949426515634,ETDopt
0.05,ndcg,18-24,0.08569694483991787,ETDopt
0.05,ndcg,25-34,0.09038030698690223,ETDopt
0.05,ndcg,35-44,0.09458000475638156,ETDopt
0.05,ndcg,45-49,0.06658599591545353,ETDopt
0.05,ndcg,50-55,0.07008297397467,ETDopt
0.05,ndcg,56+,0.04268520784732207,ETDopt
0.05,ndcg,other,0.09721076208031092,ETDopt
0.05,ndcg,academic/educator,0.08983594322790833,ETDopt
0.05,ndcg,artist,0.07031251104074829,ETDopt
0.05,ndcg,clerical/admin,0.11252434193598708,ETDopt
0.05,ndcg,college/grad student,0.08747882231248943,ETDopt
0.05,ndcg,customer service,0.08465953897682785,ETDopt
0.05,ndcg,doctor/health care,0.05863281227097962,ETDopt
0.05,ndcg,executive/managerial,0.0805436008962584,ETDopt
0.05,ndcg,farmer,0.025333915180787828,ETDopt
0.05,ndcg,homemaker,0.07259469733303804,ETDopt
0.05,ndcg,K-12 student,0.06736968686368776,ETDopt
0.05,ndcg,lawyer,0.053506086874136216,ETDopt
0.05,ndcg,programmer,0.07598710217042665,ETDopt
0.05,ndcg,retired,0.056669229303819776,ETDopt
0.05,ndcg,sales/marketing,0.06722517203964247,ETDopt
0.05,ndcg,scientist,0.06352368794220002,ETDopt
0.05,ndcg,self-employed,0.10525112543454097,ETDopt
0.05,ndcg,technician/engineer,0.08645513506583925,ETDopt
0.05,ndcg,tradesman/craftsman,0.10578958148675154,ETDopt
0.05,ndcg,unemployed,0.12017897838018993,ETDopt
0.05,ndcg,writer,0.07990610708665376,ETDopt
0.05,hr,Overall,0.16078820996853785,ETDopt
0.05,hr,Male,0.16116370353267143,ETDopt
0.05,hr,Female,0.1598360655737705,ETDopt
0.05,hr,Under 18,0.13122171945701358,ETDopt
0.05,hr,18-24,0.16681776971894832,ETDopt
0.05,hr,25-34,0.17986641221374045,ETDopt
0.05,hr,35-44,0.17183570829840739,ETDopt
0.05,hr,45-49,0.1290909090909091,ETDopt
0.05,hr,50-55,0.1431451612903226,ETDopt
0.05,hr,56+,0.08947368421052632,ETDopt
0.05,hr,other,0.18143459915611815,ETDopt
0.05,hr,academic/educator,0.16287878787878787,ETDopt
0.05,hr,artist,0.15730337078651685,ETDopt
0.05,hr,clerical/admin,0.2138728323699422,ETDopt
0.05,hr,college/grad student,0.17918313570487485,ETDopt
0.05,hr,customer service,0.16071428571428573,ETDopt
0.05,hr,doctor/health care,0.11016949152542373,ETDopt
0.05,hr,executive/managerial,0.15169366715758467,ETDopt
0.05,hr,farmer,0.058823529411764705,ETDopt
0.05,hr,homemaker,0.13043478260869565,ETDopt
0.05,hr,K-12 student,0.12371134020618557,ETDopt
0.05,hr,lawyer,0.10852713178294573,ETDopt
0.05,hr,programmer,0.16237113402061856,ETDopt
0.05,hr,retired,0.1056338028169014,ETDopt
0.05,hr,sales/marketing,0.1357615894039735,ETDopt
0.05,hr,scientist,0.1527777777777778,ETDopt
0.05,hr,self-employed,0.1825726141078838,ETDopt
0.05,hr,technician/engineer,0.1693227091633466,ETDopt
0.05,hr,tradesman/craftsman,0.18571428571428572,ETDopt
0.05,hr,unemployed,0.2222222222222222,ETDopt
0.05,hr,writer,0.15658362989323843,ETDopt
0.05,recall,Overall,0.00693000570874991,ETDopt
0.05,recall,Male,0.006783035280187191,ETDopt
0.05,recall,Female,0.007302680724033944,ETDopt
0.05,recall,Under 18,0.006722358531025823,ETDopt
0.05,recall,18-24,0.006660563579179861,ETDopt
0.05,recall,25-34,0.007447628582633127,ETDopt
0.05,recall,35-44,0.007658518091883495,ETDopt
0.05,recall,45-49,0.006126147571699759,ETDopt
0.05,recall,50-55,0.0059935797349504084,ETDopt
0.05,recall,56+,0.005076377121479714,ETDopt
0.05,recall,other,0.006683531648651013,ETDopt
0.05,recall,academic/educator,0.007371001895005379,ETDopt
0.05,recall,artist,0.005454989840618983,ETDopt
0.05,recall,clerical/admin,0.006882152232640272,ETDopt
0.05,recall,college/grad student,0.0073111771299598245,ETDopt
0.05,recall,customer service,0.004615799479455694,ETDopt
0.05,recall,doctor/health care,0.006245395341959284,ETDopt
0.05,recall,executive/managerial,0.0074140689428137735,ETDopt
0.05,recall,farmer,0.0006127450980392157,ETDopt
0.05,recall,homemaker,0.010586742038209886,ETDopt
0.05,recall,K-12 student,0.005994103443171947,ETDopt
0.05,recall,lawyer,0.004830277236410816,ETDopt
0.05,recall,programmer,0.007547875663824901,ETDopt
0.05,recall,retired,0.007091058502747626,ETDopt
0.05,recall,sales/marketing,0.005173318222461331,ETDopt
0.05,recall,scientist,0.0051868058998169216,ETDopt
0.05,recall,self-employed,0.007279364980317767,ETDopt
0.05,recall,technician/engineer,0.00860739170470329,ETDopt
0.05,recall,tradesman/craftsman,0.010761786042692406,ETDopt
0.05,recall,unemployed,0.009096557344712982,ETDopt
0.05,recall,writer,0.005289996517055224,ETDopt
0.05,precision,Overall,0.01950654081801623,ETDopt
0.05,precision,Male,0.019787577926575848,ETDopt
0.05,precision,Female,0.018793911007025762,ETDopt
0.05,precision,Under 18,0.01583710407239819,ETDopt
0.05,precision,18-24,0.019673617407071624,ETDopt
0.05,precision,25-34,0.02199427480916031,ETDopt
0.05,precision,35-44,0.021961441743503774,ETDopt
0.05,precision,45-49,0.01581818181818182,ETDopt
0.05,precision,50-55,0.015524193548387097,ETDopt
0.05,precision,56+,0.010263157894736844,ETDopt
0.05,precision,other,0.02180028129395218,ETDopt
0.05,precision,academic/educator,0.019696969696969702,ETDopt
0.05,precision,artist,0.017228464419475654,ETDopt
0.05,precision,clerical/admin,0.023699421965317918,ETDopt
0.05,precision,college/grad student,0.021343873517786566,ETDopt
0.05,precision,customer service,0.021428571428571432,ETDopt
0.05,precision,doctor/health care,0.014830508474576273,ETDopt
0.05,precision,executive/managerial,0.019734904270986744,ETDopt
0.05,precision,farmer,0.0058823529411764705,ETDopt
0.05,precision,homemaker,0.016304347826086956,ETDopt
0.05,precision,K-12 student,0.014948453608247422,ETDopt
0.05,precision,lawyer,0.011627906976744186,ETDopt
0.05,precision,programmer,0.019329896907216496,ETDopt
0.05,precision,retired,0.01267605633802817,ETDopt
0.05,precision,sales/marketing,0.014900662251655629,ETDopt
0.05,precision,scientist,0.018750000000000003,ETDopt
0.05,precision,self-employed,0.022406639004149378,ETDopt
0.05,precision,technician/engineer,0.0201195219123506,ETDopt
0.05,precision,tradesman/craftsman,0.022857142857142857,ETDopt
0.05,precision,unemployed,0.026388888888888892,ETDopt
0.05,precision,writer,0.02206405693950178,ETDopt
0.05,LIR,Overall,0.15255150329065043,ETDopt
0.05,LIR,Male,0.15611799079288238,ETDopt
0.05,LIR,Female,0.14351320172706553,ETDopt
0.05,LIR,Under 18,0.11469329350498411,ETDopt
0.05,LIR,18-24,0.15099474136979316,ETDopt
0.05,LIR,25-34,0.1694859648812292,ETDopt
0.05,LIR,35-44,0.15668438147241884,ETDopt
0.05,LIR,45-49,0.1418940019152826,ETDopt
0.05,LIR,50-55,0.1422851886707072,ETDopt
0.05,LIR,56+,0.10163096017055781,ETDopt
0.05,LIR,other,0.15031183034868464,ETDopt
0.05,LIR,academic/educator,0.15608173855522806,ETDopt
0.05,LIR,artist,0.17064376510941823,ETDopt
0.05,LIR,clerical/admin,0.1886881401491144,ETDopt
0.05,LIR,college/grad student,0.15111606588375331,ETDopt
0.05,LIR,customer service,0.24100004193193927,ETDopt
0.05,LIR,doctor/health care,0.14121602065642136,ETDopt
0.05,LIR,executive/managerial,0.1355321093171727,ETDopt
0.05,LIR,farmer,0.14186023446051638,ETDopt
0.05,LIR,homemaker,0.11674829533186334,ETDopt
0.05,LIR,K-12 student,0.11810937447526294,ETDopt
0.05,LIR,lawyer,0.1431326795697736,ETDopt
0.05,LIR,programmer,0.17678375095827273,ETDopt
0.05,LIR,retired,0.09015629337759179,ETDopt
0.05,LIR,sales/marketing,0.15993083104454325,ETDopt
0.05,LIR,scientist,0.17840342577121562,ETDopt
0.05,LIR,self-employed,0.14549718633032804,ETDopt
0.05,LIR,technician/engineer,0.13844507076177304,ETDopt
0.05,LIR,tradesman/craftsman,0.123517989485382,ETDopt
0.05,LIR,unemployed,0.2205075408674566,ETDopt
0.05,LIR,writer,0.16997310110710054,ETDopt
0.05,SEP,Overall,0.5718894349913235,ETDopt
0.05,SEP,Male,0.5713130125755145,ETDopt
0.05,SEP,Female,0.5733510775456964,ETDopt
0.05,SEP,Under 18,0.5721847051871571,ETDopt
0.05,SEP,18-24,0.5685678864482626,ETDopt
0.05,SEP,25-34,0.568821825970392,ETDopt
0.05,SEP,35-44,0.5731427408168198,ETDopt
0.05,SEP,45-49,0.5745890596697082,ETDopt
0.05,SEP,50-55,0.5836125458988131,ETDopt
0.05,SEP,56+,0.5751354123717075,ETDopt
0.05,SEP,other,0.5656286220620881,ETDopt
0.05,SEP,academic/educator,0.5785861090219111,ETDopt
0.05,SEP,artist,0.5745974918680242,ETDopt
0.05,SEP,clerical/admin,0.5762889401419207,ETDopt
0.05,SEP,college/grad student,0.5636574791258318,ETDopt
0.05,SEP,customer service,0.56330119273656,ETDopt
0.05,SEP,doctor/health care,0.5748249842499654,ETDopt
0.05,SEP,executive/managerial,0.5760938181044435,ETDopt
0.05,SEP,farmer,0.5546729768462975,ETDopt
0.05,SEP,homemaker,0.5633355032435279,ETDopt
0.05,SEP,K-12 student,0.5689676199100823,ETDopt
0.05,SEP,lawyer,0.5713124876875431,ETDopt
0.05,SEP,programmer,0.5758986653581445,ETDopt
0.05,SEP,retired,0.574092212999573,ETDopt
0.05,SEP,sales/marketing,0.5698914303010424,ETDopt
0.05,SEP,scientist,0.5878960779152888,ETDopt
0.05,SEP,self-employed,0.5822996274166596,ETDopt
0.05,SEP,technician/engineer,0.5719909892364098,ETDopt
0.05,SEP,tradesman/craftsman,0.5905449773012311,ETDopt
0.05,SEP,unemployed,0.5590780722931938,ETDopt
0.05,SEP,writer,0.5658448042552283,ETDopt
0.05,ETD,Overall,0.2123344370860927,ETDopt
0.05,ETD,Male,0.21329946894481644,ETDopt
0.05,ETD,Female,0.20988882387361033,ETDopt
0.05,ETD,Under 18,0.21171171171171174,ETDopt
0.05,ETD,18-24,0.2127833182230281,ETDopt
0.05,ETD,25-34,0.2114026717557252,ETDopt
0.05,ETD,35-44,0.21265716680637048,ETDopt
0.05,ETD,45-49,0.21236363636363637,ETDopt
0.05,ETD,50-55,0.21633064516129036,ETDopt
0.05,ETD,56+,0.21026315789473685,ETDopt
0.05,ETD,other,0.20801687763713078,ETDopt
0.05,ETD,academic/educator,0.2168560606060606,ETDopt
0.05,ETD,artist,0.20861423220973785,ETDopt
0.05,ETD,clerical/admin,0.2017341040462428,ETDopt
0.05,ETD,college/grad student,0.21291172595520425,ETDopt
0.05,ETD,customer service,0.2080357142857143,ETDopt
0.05,ETD,doctor/health care,0.21567796610169493,ETDopt
0.05,ETD,executive/managerial,0.21192930780559643,ETDopt
0.05,ETD,farmer,0.21764705882352942,ETDopt
0.05,ETD,homemaker,0.2152173913043478,ETDopt
0.05,ETD,K-12 student,0.2148717948717949,ETDopt
0.05,ETD,lawyer,0.20620155038759688,ETDopt
0.05,ETD,programmer,0.21288659793814432,ETDopt
0.05,ETD,retired,0.21267605633802814,ETDopt
0.05,ETD,sales/marketing,0.20894039735099337,ETDopt
0.05,ETD,scientist,0.21458333333333332,ETDopt
0.05,ETD,self-employed,0.21410788381742743,ETDopt
0.05,ETD,technician/engineer,0.21772908366533866,ETDopt
0.05,ETD,tradesman/craftsman,0.2042857142857142,ETDopt
0.05,ETD,unemployed,0.22916666666666666,ETDopt
0.05,ETD,writer,0.2110320284697509,ETDopt
