alpha,metric,group,data,opt
0,LIR,tradesman/craftsman,0.11795876217786298,ETDopt
0,LIR,unemployed,0.16284611884576275,ETDopt
0,LIR,writer,0.17041830284572929,ETDopt
0,SEP,Overall,0.5475530341454791,ETDopt
0,SEP,Male,0.5476126424722678,ETDopt
0,SEP,Female,0.5474018844596934,ETDopt
0,SEP,Under 18,0.5431345472085018,ETDopt
0,SEP,18-24,0.545853636150565,ETDopt
0,SEP,25-34,0.5450069406276271,ETDopt
0,SEP,35-44,0.5479983075062731,ETDopt
0,SEP,45-49,0.551831767970864,ETDopt
0,SEP,50-55,0.5578813100715458,ETDopt
0,SEP,56+,0.5480272289669589,ETDopt
0,SEP,other,0.5393505720502059,ETDopt
0,SEP,academic/educator,0.5528012801331026,ETDopt
0,SEP,artist,0.5448328530920519,ETDopt
0,SEP,clerical/admin,0.5459576995421274,ETDopt
0,SEP,college/grad student,0.536305277056623,ETDopt
0,SEP,customer service,0.5398290613932745,ETDopt
0,SEP,doctor/health care,0.5471861815120712,ETDopt
0,SEP,executive/managerial,0.5562806287494475,ETDopt
0,SEP,farmer,0.5474178238476369,ETDopt
0,SEP,homemaker,0.5543870186255625,ETDopt
0,SEP,K-12 student,0.5398159870667423,ETDopt
0,SEP,lawyer,0.5553743513517188,ETDopt
0,SEP,programmer,0.5489080081912399,ETDopt
0,SEP,retired,0.5438878351505169,ETDopt
0,SEP,sales/marketing,0.5531896590010552,ETDopt
0,SEP,scientist,0.5614428559779137,ETDopt
0,SEP,self-employed,0.55233409004176,ETDopt
0,SEP,technician/engineer,0.5532689124161011,ETDopt
0,SEP,tradesman/craftsman,0.5854811325100338,ETDopt
0,SEP,unemployed,0.520268363629683,ETDopt
0,SEP,writer,0.5442494664679015,ETDopt
0,ETD,Overall,0.13245033112582782,ETDopt
0,ETD,Male,0.13274070653428768,ETDopt
0,ETD,Female,0.13171445289643066,ETDopt
0,ETD,Under 18,0.13063063063063066,ETDopt
0,ETD,18-24,0.13481414324569355,ETDopt
0,ETD,25-34,0.13134541984732825,ETDopt
0,ETD,35-44,0.1330259849119866,ETDopt
0,ETD,45-49,0.13127272727272726,ETDopt
0,ETD,50-55,0.13286290322580646,ETDopt
0,ETD,56+,0.13210526315789475,ETDopt
0,ETD,other,0.13122362869198312,ETDopt
0,ETD,academic/educator,0.1327651515151515,ETDopt
0,ETD,artist,0.1307116104868914,ETDopt
0,ETD,clerical/admin,0.12947976878612716,ETDopt
